trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-216.50954503260317,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-89.26967145886903,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-190.83274586748556,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-187.88228675223553,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-165.55066737273816,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-184.49509773255684,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-112.85691843816275,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-187.842397550615,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-78.71916426298698,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-91.36485785352477,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-175.46937336788568,"{0: 7, 1: 5, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-23.01044317567108,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-24.76945787662645,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-196.63175216167792,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-82.72701889142704,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-64.32359902483252,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-168.54944554671252,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-216.43451193635755,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-113.21667530726418,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-133.7325073518569,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-175.54455878668662,"{0: 23, 1: 4, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-89.13548352612202,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-188.26961822870743,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-124.37923464204322,"{0: 15, 1: 8, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-94.45794922225998,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-112.16311275491957,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-185.1036768422129,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,9,-119.70606517560675,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,20,-29.22868030179466,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-252.0980072117833,"{0: 18, 1: 3, 2: 1, 3: 4, 4: 4}",0
11,True,"{'a': 0.0, 'e': 0.0}",25,0,-177.59749025891927,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
12,True,"{'a': 0.0, 'e': 0.0}",35,0,-98.12946335656709,"{0: 22, 1: 4, 2: 8, 3: 1, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",35,0,-137.53664867386695,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,0,-110.30800847957313,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
15,True,"{'a': 0.0, 'e': 0.0}",20,0,-34.12515327599035,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,5,-105.27975407366246,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 2}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,0,-66.83244808996764,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,True,"{'a': 0.0, 'e': 0.0}",25,0,-109.1733163866094,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
